representation,outer_fold,inner_fold,model,config,R2,RMSE,MAE,Bias,N
sentinel1_sentinel2,4,0,random_forest,rf_sqrt,0.43688970976057995,82.21337728661544,56.771524750371334,-1.0213092163250368,14597
sentinel1_sentinel2,4,0,random_forest,rf_half,0.43682852003715256,82.21784397569161,56.639978572187665,-0.6482572608641425,14597
sentinel1_sentinel2,4,0,xgboost,xgb_depth6,0.43090047932115494,82.64943085501876,56.575576644207906,-2.2233614830629476,14597
sentinel1_sentinel2,4,0,xgboost,xgb_depth8,0.41774581088500007,83.59918975137195,57.40612809663368,-2.1627971636753904,14597
sentinel1_sentinel2,4,1,random_forest,rf_sqrt,0.40883625883185304,85.05097360253977,56.69445220877946,4.2054629272331425,14854
sentinel1_sentinel2,4,1,random_forest,rf_half,0.40911886880058623,85.03064156534083,56.751686773636806,5.4328944194606885,14854
sentinel1_sentinel2,4,1,xgboost,xgb_depth6,0.4100381868352282,84.96446866950141,56.39762812675909,4.697759232374721,14854
sentinel1_sentinel2,4,1,xgboost,xgb_depth8,0.4014705218091067,85.57918916727252,56.93207060603264,4.814639501700871,14854
sentinel1_sentinel2,4,2,random_forest,rf_sqrt,0.3602999099387638,88.04484937341458,56.091455425015525,1.7691644174531287,15178
sentinel1_sentinel2,4,2,random_forest,rf_half,0.3601399138135848,88.05585918430259,56.09788378507296,2.267920524940816,15178
sentinel1_sentinel2,4,2,xgboost,xgb_depth6,0.3633791051186599,87.83269190214828,55.47581801179294,-0.6169865472111206,15178
sentinel1_sentinel2,4,2,xgboost,xgb_depth8,0.35629642575035647,88.31992857773359,55.80390352067358,-0.9732337991628889,15178
sentinel1_sentinel2,4,3,random_forest,rf_sqrt,0.3931916671781637,84.30632283203036,55.656181647362736,-2.6914140270511773,15371
sentinel1_sentinel2,4,3,random_forest,rf_half,0.3977605629053259,83.98833560683914,55.206568930098264,-2.6992181472652934,15371
sentinel1_sentinel2,4,3,xgboost,xgb_depth6,0.39479682202789,84.19474368435195,55.11683314758459,-3.497753659791037,15371
sentinel1_sentinel2,4,3,xgboost,xgb_depth8,0.3881739091514834,84.65417386325974,55.56448678898554,-3.244363158186371,15371
palsar_sentinel2,0,1,random_forest,rf_sqrt,0.40685596548289715,85.24981603320481,56.154230404172395,3.641067402987641,14919
palsar_sentinel2,0,1,random_forest,rf_half,0.4094297317672819,85.06465726381788,56.02194990419536,5.112449491454857,14919
palsar_sentinel2,0,1,xgboost,xgb_depth6,0.40960010223935206,85.05238645375395,55.51101948361909,4.096185851995006,14919
palsar_sentinel2,0,1,xgboost,xgb_depth8,0.4047048483850889,85.40426112730309,55.82583428962329,3.9808981479747927,14919
palsar_sentinel2,0,2,random_forest,rf_sqrt,0.37163847274307404,86.8614692719372,55.36284702289374,1.535650599070628,15172
palsar_sentinel2,0,2,random_forest,rf_half,0.3745123466645278,86.66260684901377,55.15761039537945,1.956194130838859,15172
palsar_sentinel2,0,2,xgboost,xgb_depth6,0.3715788846870314,86.86558774766442,54.61460505792116,-0.028843040998891376,15172
palsar_sentinel2,0,2,xgboost,xgb_depth8,0.3663803984280264,87.22413674983726,55.06650234887942,-0.21426090274510257,15172
palsar_sentinel2,0,3,random_forest,rf_sqrt,0.4054633187898147,83.02704692315108,55.49430761816255,-3.0453581280488167,15306
palsar_sentinel2,0,3,random_forest,rf_half,0.40893464355822695,82.78430683226625,55.22556966423945,-2.9477381564622673,15306
palsar_sentinel2,0,3,xgboost,xgb_depth6,0.40944399629803796,82.74862930420578,55.116637901451796,-2.194002996512239,15306
palsar_sentinel2,0,3,xgboost,xgb_depth8,0.3999397976380279,83.41183513573999,55.75258508398781,-2.0436287149822077,15306
palsar_sentinel2,0,4,random_forest,rf_sqrt,0.4416757501250058,78.15883350305464,55.47436094903853,-0.07922869423791189,14603
palsar_sentinel2,0,4,random_forest,rf_half,0.44750781648957516,77.74955151594638,55.030487203789924,0.16149395414946188,14603
palsar_sentinel2,0,4,xgboost,xgb_depth6,0.4500413815821165,77.57107849690618,54.67282365783632,-0.19991016609813494,14603
palsar_sentinel2,0,4,xgboost,xgb_depth8,0.44349437519085533,78.03143660793545,54.96329879803962,-0.39163532269725104,14603
palsar_sentinel2,1,0,random_forest,rf_sqrt,0.45172843602434876,80.6177312218,56.09525477872559,1.0939038340764544,14677
palsar_sentinel2,1,0,random_forest,rf_half,0.45273465810502744,80.54371991099191,55.948243129437,1.7366807786520846,14677
palsar_sentinel2,1,0,xgboost,xgb_depth6,0.44984622239374605,80.75599280155684,55.50407025026363,-0.44735317977223726,14677
palsar_sentinel2,1,0,xgboost,xgb_depth8,0.4455090736558822,81.07368866395467,55.765872112573895,-0.38663631012930255,14677
palsar_sentinel2,1,2,random_forest,rf_sqrt,0.36898893217705075,87.36035700601045,55.65632725907412,1.1631491880546219,15250
palsar_sentinel2,1,2,random_forest,rf_half,0.3712723353700026,87.20215082211065,55.50535349584937,1.6115079773018728,15250
palsar_sentinel2,1,2,xgboost,xgb_depth6,0.3641421495022118,87.6952217416651,55.43469215125289,-1.0295404500469538,15250
palsar_sentinel2,1,2,xgboost,xgb_depth8,0.357875985316081,88.12626578072248,55.73437424011106,-0.8705203499898287,15250
palsar_sentinel2,1,3,random_forest,rf_sqrt,0.3994592774875043,83.71963792495582,55.556786739721325,-2.3441854099960957,15446
palsar_sentinel2,1,3,random_forest,rf_half,0.4028115235617713,83.48564748713129,55.34372610998438,-2.0292367547201624,15446
palsar_sentinel2,1,3,xgboost,xgb_depth6,0.40049370942636253,83.64750327246206,55.466075005274284,-1.5614322905651534,15446
palsar_sentinel2,1,3,xgboost,xgb_depth8,0.39102067071002744,84.30578684452308,55.95462471188478,-1.0586573607390353,15446
palsar_sentinel2,1,4,random_forest,rf_sqrt,0.4305661278824635,79.80380457317283,55.46252742845184,0.9588527432122326,14627
palsar_sentinel2,1,4,random_forest,rf_half,0.43572853300128866,79.44123607932146,55.113180654803806,1.5022803348305787,14627
palsar_sentinel2,1,4,xgboost,xgb_depth6,0.4410669988219098,79.06455376356611,54.4387677249771,0.828314915794218,14627
palsar_sentinel2,1,4,xgboost,xgb_depth8,0.4332320659977077,79.6167753047278,54.86231100967398,0.4871395805518628,14627
palsar_sentinel2,2,0,random_forest,rf_sqrt,0.4473751911979199,80.89108111240128,56.11500311446086,1.1265723259486455,14688
palsar_sentinel2,2,0,random_forest,rf_half,0.44991431799207204,80.7050333820848,55.862110149601946,1.3115291868895032,14688
palsar_sentinel2,2,0,xgboost,xgb_depth6,0.4489288579893661,80.77729121149778,55.407083855666464,-0.10333459307118098,14688
palsar_sentinel2,2,0,xgboost,xgb_depth8,0.441486610820901,81.32091291623745,55.92667534842554,0.4603009662816849,14688
palsar_sentinel2,2,1,random_forest,rf_sqrt,0.40678932275081114,85.66818931116208,56.17314076775774,2.4564219592896963,15046
palsar_sentinel2,2,1,random_forest,rf_half,0.407674790977942,85.60422823380183,56.122635503676214,3.68728247535479,15046
palsar_sentinel2,2,1,xgboost,xgb_depth6,0.4022909981093321,85.9923873951849,55.943231839494594,2.0276688618291843,15046
palsar_sentinel2,2,1,xgboost,xgb_depth8,0.39871621976161986,86.24915570787991,56.24092787125293,2.182049159317291,15046
palsar_sentinel2,2,3,random_forest,rf_sqrt,0.39112995337754874,85.1783365518351,55.96343553904615,-1.4472266265198626,15548
