representation,method,budget,fold,seed,N_train,N_test,R2,RMSE,MAE,Bias
conventional,affine,100,0,42,100,26033,0.046186101828687987,85.00536582832972,57.670600843292156,-0.5513091432404323
conventional,local_xgboost,100,0,42,100,26033,-0.021200300559039764,87.95691419598192,59.8863595521249,-2.271329017869956
alphaearth,bias_only,100,0,43,100,26033,-0.1548069065517943,93.53393462168863,63.74635524631967,1.129328166691085
alphaearth,affine,100,0,43,100,26033,0.04549931344261371,85.03596414144117,57.5503848378539,2.688308721123467
alphaearth,local_xgboost,100,0,43,100,26033,0.06988927310345439,83.94248932301132,55.99737837307364,-1.9348910780325617
conventional,bias_only,100,0,43,100,26033,-0.423323588702919,103.84039728888625,73.3946289973612,-3.665815505516881
conventional,affine,100,0,43,100,26033,0.04675676525223682,84.97993282137426,58.10808286934343,2.502515195513931
conventional,local_xgboost,100,0,43,100,26033,-0.020212191955743197,87.91435054934429,60.05306057140883,1.2199534286088962
alphaearth,bias_only,100,0,44,100,26033,-0.1851743540436277,94.75576456109148,66.09139861686548,15.209647394031174
alphaearth,affine,100,0,44,100,26033,0.010298876483977759,86.58976265041217,61.07440731782255,15.88022873657092
alphaearth,local_xgboost,100,0,44,100,26033,-0.03940161557279209,88.73730020009862,61.65227912127525,8.103730117594017
conventional,bias_only,100,0,44,100,26033,-0.4222184737167767,103.80007692049995,73.39586560525964,-2.2507916181767817
conventional,affine,100,0,44,100,26033,0.016164240527062,86.33279861252096,61.158527236200044,13.758605545276426
conventional,local_xgboost,100,0,44,100,26033,-0.1871586624203183,94.8350550137,67.99838651576017,12.572853462350967
alphaearth,bias_only,250,0,42,250,26033,-0.1549417224297367,93.53939418875325,63.78037653554892,1.5154938115092051
alphaearth,affine,250,0,42,250,26033,0.053386527413210705,84.68390147102774,57.88766967631165,4.808899546176562
alphaearth,local_xgboost,250,0,42,250,26033,0.0637492123531006,84.21910379007647,56.11247288802802,1.7141162337100087
conventional,bias_only,250,0,42,250,26033,-0.424215331764221,103.87292132461121,73.66261823350767,4.493759975301255
conventional,affine,250,0,42,250,26033,0.04239066113012957,85.17432567755962,58.7233148082426,5.79805056576777
conventional,local_xgboost,250,0,42,250,26033,-0.0064906343823818435,87.32113792638951,59.64630044576243,3.626048383607057
alphaearth,bias_only,250,0,43,250,26033,-0.15513723836509463,93.54731132771438,63.820340874515004,1.9436854010043223
alphaearth,affine,250,0,43,250,26033,0.052872194264522276,84.70690443060892,57.394825904572876,2.6582405715086765
alphaearth,local_xgboost,250,0,43,250,26033,0.08520583384181091,83.2484604671289,55.595378827403174,-1.5398968652183032
conventional,bias_only,250,0,43,250,26033,-0.4220802872170877,103.79503405331788,73.51416099830405,2.004791344796367
conventional,affine,250,0,43,250,26033,0.04690078917606144,84.97351284100726,58.10259051913372,2.8667371464007187
conventional,local_xgboost,250,0,43,250,26033,-0.019524028690812933,87.8846951342305,60.4035972528609,2.697078882158569
alphaearth,bias_only,250,0,44,250,26033,-0.16009829282741483,93.74797842768949,64.36740790225261,6.431323003262369
alphaearth,affine,250,0,44,250,26033,0.04495838265486196,85.06005634825291,58.817934630877446,9.108924361048977
alphaearth,local_xgboost,250,0,44,250,26033,0.0034724421353978796,86.8878746478309,59.81348097972596,9.00300353956441
conventional,bias_only,250,0,44,250,26033,-0.42175382173452314,103.78311931081974,73.40847724702853,-1.2433616089455815
conventional,affine,250,0,44,250,26033,0.03791062028374559,85.37333125646674,59.41284078143074,8.329795591349924
conventional,local_xgboost,250,0,44,250,26033,-0.03482716334498526,88.5418164992095,61.693196802124326,6.899932527801545
alphaearth,bias_only,500,0,42,500,26033,-0.1549837396720235,93.54109567358454,63.78967916089226,1.6171073274381815
alphaearth,affine,500,0,42,500,26033,0.054137633094019755,84.65029790223731,57.64288168187309,4.014394488297917
